PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,Note1,Note2,Note3,LDB
USA,02,1940,1940,9,1,43,O,206103,.,.,.,1
USA,02,1940,1940,10,1,43,O,198763,.,.,.,1
USA,02,1940,1940,11,1,43,O,185710,.,.,.,1
USA,02,1940,1940,12,1,43,O,192143,.,.,.,1
USA,02,1940,1940,TOT,1,43,O,2360399,.,.,.,1
USA,02,1941,1941,1,1,43,O,205011,.,.,.,1
USA,02,1941,1941,2,1,43,O,190876,.,.,.,1
USA,02,1941,1941,3,1,43,O,211875,.,.,.,1
USA,02,1941,1941,4,1,43,O,200781,.,.,.,1
USA,02,1941,1941,5,1,43,O,198270,.,.,.,1
USA,02,1941,1941,6,1,43,O,211120,.,.,.,1
USA,02,1941,1941,7,1,43,O,234239,.,.,.,1
USA,02,1941,1941,8,1,43,O,229428,.,.,.,1
USA,02,1941,1941,9,1,43,O,215232,.,.,.,1
USA,02,1941,1941,10,1,43,O,207462,.,.,.,1
USA,02,1941,1941,11,1,43,O,199889,.,.,.,1
USA,02,1941,1941,12,1,43,O,209244,.,.,.,1
USA,02,1941,1941,TOT,1,43,O,2513427,.,.,.,1
USA,02,1942,1942,1,1,43,O,224251,.,.,.,1
USA,02,1942,1942,2,1,43,O,208149,.,.,.,1
USA,02,1942,1942,3,1,43,O,227012,.,.,.,1
USA,02,1942,1942,4,1,43,O,209363,.,.,.,1
USA,02,1942,1942,5,1,43,O,213594,.,.,.,1
USA,02,1942,1942,6,1,43,O,217609,.,.,.,1
USA,02,1942,1942,7,1,43,O,239127,.,.,.,1
USA,02,1942,1942,8,1,43,O,249525,.,.,.,1
USA,02,1942,1942,9,1,43,O,257448,.,.,.,1
USA,02,1942,1942,10,1,43,O,265589,.,.,.,1
USA,02,1942,1942,11,1,43,O,246991,.,.,.,1
USA,02,1942,1942,12,1,43,O,250338,.,.,.,1
USA,02,1942,1942,TOT,1,43,O,2808996,.,.,.,1
USA,02,1943,1943,1,1,43,O,261958,.,.,.,1
USA,02,1943,1943,2,1,43,O,237078,.,.,.,1
USA,02,1943,1943,3,1,43,O,255166,.,.,.,1
USA,02,1943,1943,4,1,43,O,235675,.,.,.,1
USA,02,1943,1943,5,1,43,O,236609,.,.,.,1
USA,02,1943,1943,6,1,43,O,239850,.,.,.,1
USA,02,1943,1943,7,1,43,O,258656,.,.,.,1
USA,02,1943,1943,8,1,43,O,260985,.,.,.,1
USA,02,1943,1943,9,1,43,O,251169,.,.,.,1
USA,02,1943,1943,10,1,43,O,243810,.,.,.,1
USA,02,1943,1943,11,1,43,O,225284,.,.,.,1
USA,02,1943,1943,12,1,43,O,228620,.,.,.,1
USA,02,1943,1943,TOT,1,43,O,2934860,.,.,.,1
USA,02,1944,1944,1,1,43,O,235595,.,.,.,1
USA,02,1944,1944,2,1,43,O,223073,.,.,.,1
USA,02,1944,1944,3,1,43,O,227932,.,.,.,1
USA,02,1944,1944,4,1,43,O,212915,.,.,.,1
USA,02,1944,1944,5,1,43,O,221950,.,.,.,1
USA,02,1944,1944,6,1,43,O,230306,.,.,.,1
USA,02,1944,1944,7,1,43,O,253921,.,.,.,1
USA,02,1944,1944,8,1,43,O,252673,.,.,.,1
USA,02,1944,1944,9,1,43,O,237395,.,.,.,1
USA,02,1944,1944,10,1,43,O,236068,.,.,.,1
USA,02,1944,1944,11,1,43,O,229117,.,.,.,1
USA,02,1944,1944,12,1,43,O,233855,.,.,.,1
USA,02,1944,1944,TOT,1,43,O,2794800,.,.,.,1
USA,02,1945,1945,1,1,43,O,236566,.,.,.,1
USA,02,1945,1945,2,1,43,O,214692,.,.,.,1
USA,02,1945,1945,3,1,43,O,230989,.,.,.,1
USA,02,1945,1945,4,1,43,O,215029,.,.,.,1
USA,02,1945,1945,5,1,43,O,221984,.,.,.,1
USA,02,1945,1945,6,1,43,O,224512,.,.,.,1
USA,02,1945,1945,7,1,43,O,240951,.,.,.,1
USA,02,1945,1945,8,1,43,O,243155,.,.,.,1
USA,02,1945,1945,9,1,43,O,236448,.,.,.,1
USA,02,1945,1945,10,1,43,O,230965,.,.,.,1
USA,02,1945,1945,11,1,43,O,218052,.,.,.,1
USA,02,1945,1945,12,1,43,O,222113,.,.,.,1
USA,02,1945,1945,TOT,1,43,O,2735456,.,.,.,1
USA,02,1946,1946,1,1,43,O,222721,.,.,.,1
USA,02,1946,1946,2,1,43,O,206387,.,.,.,1
USA,02,1946,1946,3,1,43,O,228321,.,.,.,1
USA,02,1946,1946,4,1,43,O,220646,.,.,.,1
USA,02,1946,1946,5,1,43,O,233452,.,.,.,1
USA,02,1946,1946,6,1,43,O,242302,.,.,.,1
USA,02,1946,1946,7,1,43,O,286336,.,.,.,1
USA,02,1946,1946,8,1,43,O,312678,.,.,.,1
USA,02,1946,1946,9,1,43,O,325485,.,.,.,1
USA,02,1946,1946,10,1,43,O,339499,.,.,.,1
USA,02,1946,1946,11,1,43,O,332115,.,.,.,1
USA,02,1946,1946,12,1,43,O,338730,.,.,.,1
USA,02,1946,1946,TOT,1,43,O,3288672,.,.,.,1
USA,02,1947,1947,1,1,43,O,340460,.,.,.,1
USA,02,1947,1947,2,1,43,O,301932,.,.,.,1
USA,02,1947,1947,3,1,43,O,325740,.,.,.,1
USA,02,1947,1947,4,1,43,O,292375,.,.,.,1
USA,02,1947,1947,5,1,43,O,303461,.,.,.,1
USA,02,1947,1947,6,1,43,O,301913,.,.,.,1
USA,02,1947,1947,7,1,43,O,318340,.,.,.,1
USA,02,1947,1947,8,1,43,O,319681,.,.,.,1
USA,02,1947,1947,9,1,43,O,310145,.,.,.,1
USA,02,1947,1947,10,1,43,O,308540,.,.,.,1
USA,02,1947,1947,11,1,43,O,288366,.,.,.,1
USA,02,1947,1947,12,1,43,O,288987,.,.,.,1
USA,02,1947,1947,TOT,1,43,O,3699940,.,.,.,1
USA,02,1948,1948,1,1,43,O,295494,.,.,.,1
USA,02,1948,1948,2,1,43,O,285694,.,.,.,1
USA,02,1948,1948,3,1,43,O,300463,.,.,.,1
USA,02,1948,1948,4,1,43,O,277636,.,.,.,1
USA,02,1948,1948,5,1,43,O,272277,.,.,.,1
USA,02,1948,1948,6,1,43,O,267712,.,.,.,1
USA,02,1948,1948,7,1,43,O,308010,.,.,.,1
USA,02,1948,1948,8,1,43,O,320968,.,.,.,1
USA,02,1948,1948,9,1,43,O,312511,.,.,.,1
USA,02,1948,1948,10,1,43,O,307720,.,.,.,1
USA,02,1948,1948,11,1,43,O,290552,.,.,.,1
USA,02,1948,1948,12,1,43,O,296031,.,.,.,1
USA,02,1948,1948,TOT,1,43,O,3535068,.,.,.,1
USA,02,1949,1949,1,1,43,O,299255,.,.,.,1
USA,02,1949,1949,2,1,43,O,273195,.,.,.,1
USA,02,1949,1949,3,1,43,O,300117,.,.,.,1
USA,02,1949,1949,4,1,43,O,270770,.,.,.,1
USA,02,1949,1949,5,1,43,O,281595,.,.,.,1
USA,02,1949,1949,6,1,43,O,285442,.,.,.,1
USA,02,1949,1949,7,1,43,O,318218,.,.,.,1
USA,02,1949,1949,8,1,43,O,322774,.,.,.,1
USA,02,1949,1949,9,1,43,O,312623,.,.,.,1
USA,02,1949,1949,10,1,43,O,311480,.,.,.,1
USA,02,1949,1949,11,1,43,O,290956,.,.,.,1
USA,02,1949,1949,12,1,43,O,293104,.,.,.,1
USA,02,1949,1949,TOT,1,43,O,3559529,.,.,.,1
USA,02,1950,1950,1,1,47,O,297276,.,.,.,1
USA,02,1950,1950,2,1,47,O,272604,.,.,.,1
USA,02,1950,1950,3,1,47,O,294038,.,.,.,1
USA,02,1950,1950,4,1,47,O,258868,.,.,.,1
USA,02,1950,1950,5,1,47,O,275786,.,.,.,1
USA,02,1950,1950,6,1,47,O,293879,.,.,.,1
USA,02,1950,1950,7,1,47,O,315538,.,.,.,1
USA,02,1950,1950,8,1,47,O,325094,.,.,.,1
USA,02,1950,1950,9,1,47,O,315375,.,.,.,1
USA,02,1950,1950,10,1,47,O,311905,.,.,.,1
USA,02,1950,1950,11,1,47,O,292497,.,.,.,1
USA,02,1950,1950,12,1,47,O,301289,.,.,.,1
USA,02,1950,1950,TOT,1,47,O,3554149,.,.,.,1
USA,02,1951,1951,1,1,51,O,303538,.,.,.,1
USA,02,1951,1951,2,1,51,O,282118,.,.,.,1
USA,02,1951,1951,3,1,51,O,312820,.,.,.,1
USA,02,1951,1951,4,1,51,O,295924,.,.,.,1
USA,02,1951,1951,5,1,51,O,312970,.,.,.,1
USA,02,1951,1951,6,1,51,O,306788,.,.,.,1
USA,02,1951,1951,7,1,51,O,328208,.,.,.,1
USA,02,1951,1951,8,1,51,O,334264,.,.,.,1
USA,02,1951,1951,9,1,51,O,328708,.,.,.,1
USA,02,1951,1951,10,1,51,O,329166,.,.,.,1
USA,02,1951,1951,11,1,51,O,304302,.,.,.,1
USA,02,1951,1951,12,1,51,O,312044,.,.,.,1
USA,02,1951,1951,TOT,1,51,O,3750850,.,.,.,1
USA,02,1952,1952,1,1,61,O,311626,.,.,.,1
USA,02,1952,1952,2,1,61,O,300218,.,.,.,1
USA,02,1952,1952,3,1,61,O,317178,.,.,.,1
USA,02,1952,1952,4,1,61,O,292028,.,.,.,1
USA,02,1952,1952,5,1,61,O,300366,.,.,.,1
USA,02,1952,1952,6,1,61,O,311340,.,.,.,1
USA,02,1952,1952,7,1,61,O,345452,.,.,.,1
USA,02,1952,1952,8,1,61,O,350476,.,.,.,1
USA,02,1952,1952,9,1,61,O,343682,.,.,.,1
USA,02,1952,1952,10,1,61,O,336136,.,.,.,1
USA,02,1952,1952,11,1,61,O,315148,.,.,.,1
USA,02,1952,1952,12,1,61,O,323336,.,.,.,1
USA,02,1952,1952,TOT,1,61,O,3846986,.,.,.,1
USA,02,1953,1953,1,1,61,O,322488,.,.,.,1
USA,02,1953,1953,2,1,61,O,296312,.,.,.,1
USA,02,1953,1953,3,1,61,O,315132,.,.,.,1
USA,02,1953,1953,4,1,61,O,286962,.,.,.,1
USA,02,1953,1953,5,1,61,O,307382,.,.,.,1
USA,02,1953,1953,6,1,61,O,321246,.,.,.,1
USA,02,1953,1953,7,1,61,O,354464,.,.,.,1
USA,02,1953,1953,8,1,61,O,356450,.,.,.,1
USA,02,1953,1953,9,1,61,O,347740,.,.,.,1
USA,02,1953,1953,10,1,61,O,334202,.,.,.,1
USA,02,1953,1953,11,1,61,O,319966,.,.,.,1
USA,02,1953,1953,12,1,61,O,339776,.,.,.,1
USA,02,1953,1953,TOT,1,61,O,3902120,.,.,.,1
USA,02,1954,1954,1,1,61,O,331570,.,.,.,1
USA,02,1954,1954,2,1,61,O,302318,.,.,.,1
USA,02,1954,1954,3,1,61,O,323668,.,.,.,1
USA,02,1954,1954,4,1,61,O,305006,.,.,.,1
USA,02,1954,1954,5,1,61,O,318444,.,.,.,1
USA,02,1954,1954,6,1,61,O,327008,.,.,.,1
USA,02,1954,1954,7,1,61,O,358920,.,.,.,1
USA,02,1954,1954,8,1,61,O,363278,.,.,.,1
USA,02,1954,1954,9,1,61,O,358568,.,.,.,1
USA,02,1954,1954,10,1,61,O,351858,.,.,.,1
USA,02,1954,1954,11,1,61,O,335140,.,.,.,1
USA,02,1954,1954,12,1,61,O,341584,.,.,.,1
USA,02,1954,1954,TOT,1,61,O,4017362,.,.,.,1
USA,02,1955,1955,1,1,61,O,328872,.,.,.,1
USA,02,1955,1955,2,1,61,O,306418,.,.,.,1
USA,02,1955,1955,3,1,61,O,332407,.,.,.,1
USA,02,1955,1955,4,1,61,O,309198,.,.,.,1
USA,02,1955,1955,5,1,61,O,325859,.,.,.,1
USA,02,1955,1955,6,1,61,O,324847,.,.,.,1
USA,02,1955,1955,7,1,61,O,354267,.,.,.,1
USA,02,1955,1955,8,1,61,O,367221,.,.,.,1
USA,02,1955,1955,9,1,61,O,361973,.,.,.,1
USA,02,1955,1955,10,1,61,O,354304,.,.,.,1
USA,02,1955,1955,11,1,61,O,336565,.,.,.,1
USA,02,1955,1955,12,1,61,O,345364,.,.,.,1
USA,02,1955,1955,TOT,1,61,O,4047295,.,.,.,1
USA,02,1956,1956,1,1,73,O,339074,.,.,.,1
USA,02,1956,1956,2,1,73,O,324828,.,.,.,1
USA,02,1956,1956,3,1,73,O,344912,.,.,.,1
USA,02,1956,1956,4,1,73,O,308530,.,.,.,1
USA,02,1956,1956,5,1,73,O,315230,.,.,.,1
USA,02,1956,1956,6,1,73,O,333672,.,.,.,1
USA,02,1956,1956,7,1,73,O,370390,.,.,.,1
USA,02,1956,1956,8,1,73,O,383084,.,.,.,1
USA,02,1956,1956,9,1,73,O,374728,.,.,.,1
USA,02,1956,1956,10,1,73,O,369734,.,.,.,1
USA,02,1956,1956,11,1,73,O,343658,.,.,.,1
USA,02,1956,1956,12,1,73,O,355250,.,.,.,1
USA,02,1956,1956,TOT,1,73,O,4163090,.,.,.,1
USA,02,1957,1957,1,1,73,O,346462,.,.,.,1
USA,02,1957,1957,2,1,73,O,317380,.,.,.,1
USA,02,1957,1957,3,1,73,O,348378,.,.,.,1
USA,02,1957,1957,4,1,73,O,331212,.,.,.,1
USA,02,1957,1957,5,1,73,O,344740,.,.,.,1
USA,02,1957,1957,6,1,73,O,348054,.,.,.,1
USA,02,1957,1957,7,1,73,O,380020,.,.,.,1
USA,02,1957,1957,8,1,73,O,381448,.,.,.,1
USA,02,1957,1957,9,1,73,O,377002,.,.,.,1
USA,02,1957,1957,10,1,73,O,376254,.,.,.,1
USA,02,1957,1957,11,1,73,O,348158,.,.,.,1
USA,02,1957,1957,12,1,73,O,355676,.,.,.,1
USA,02,1957,1957,TOT,1,73,O,4254784,.,.,.,1
USA,02,1958,1958,1,1,73,O,344236,.,.,.,1
USA,02,1958,1958,2,1,73,O,319968,.,.,.,1
USA,02,1958,1958,3,1,73,O,347378,.,.,.,1
USA,02,1958,1958,4,1,73,O,326178,.,.,.,1
USA,02,1958,1958,5,1,73,O,342518,.,.,.,1
USA,02,1958,1958,6,1,73,O,338316,.,.,.,1
USA,02,1958,1958,7,1,73,O,360960,.,.,.,1
USA,02,1958,1958,8,1,73,O,367878,.,.,.,1
USA,02,1958,1958,9,1,73,O,378118,.,.,.,1
USA,02,1958,1958,10,1,73,O,373820,.,.,.,1
USA,02,1958,1958,11,1,73,O,346600,.,.,.,1
USA,02,1958,1958,12,1,73,O,357842,.,.,.,1
USA,02,1958,1958,TOT,1,73,O,4203812,.,.,.,1
USA,01,1959,1959,1,1,77,O,349334,.,.,.,1
USA,01,1959,1959,2,1,77,O,322706,.,.,.,1
USA,01,1959,1959,3,1,77,O,358192,.,.,.,1
USA,01,1959,1959,4,1,77,O,331144,.,.,.,1
USA,01,1959,1959,5,1,77,O,337614,.,.,.,1
USA,01,1959,1959,6,1,77,O,342814,.,.,.,1
USA,01,1959,1959,7,1,77,O,373766,.,.,.,1
USA,01,1959,1959,8,1,77,O,380078,.,.,.,1
USA,01,1959,1959,9,1,77,O,377220,.,.,.,1
USA,01,1959,1959,10,1,77,O,368198,.,.,.,1
USA,01,1959,1959,11,1,77,O,345688,.,.,.,1
USA,01,1959,1959,12,1,77,O,358042,.,.,.,1
USA,01,1959,1959,TOT,1,77,O,4244796,.,.,.,1
USA,01,1960,1960,1,1,119,O,345376,.,.,.,1
USA,01,1960,1960,2,1,119,O,329642,.,.,.,1
USA,01,1960,1960,3,1,119,O,349918,.,.,.,1
USA,01,1960,1960,4,1,119,O,327202,.,.,.,1
USA,01,1960,1960,5,1,119,O,333120,.,.,.,1
USA,01,1960,1960,6,1,119,O,332728,.,.,.,1
USA,01,1960,1960,7,1,119,O,374214,.,.,.,1
USA,01,1960,1960,8,1,119,O,392230,.,.,.,1
USA,01,1960,1960,9,1,119,O,387350,.,.,.,1
USA,01,1960,1960,10,1,119,O,370552,.,.,.,1
USA,01,1960,1960,11,1,119,O,349854,.,.,.,1
USA,01,1960,1960,12,1,119,O,365664,.,.,.,1
USA,01,1960,1960,TOT,1,119,O,4257850,.,.,.,1
USA,01,1961,1961,1,1,119,O,353286,.,.,.,1
USA,01,1961,1961,2,1,119,O,327502,.,.,.,1
USA,01,1961,1961,3,1,119,O,360322,.,.,.,1
USA,01,1961,1961,4,1,119,O,335120,.,.,.,1
USA,01,1961,1961,5,1,119,O,342404,.,.,.,1
USA,01,1961,1961,6,1,119,O,341990,.,.,.,1
USA,01,1961,1961,7,1,119,O,373522,.,.,.,1
USA,01,1961,1961,8,1,119,O,385484,.,.,.,1
USA,01,1961,1961,9,1,119,O,377628,.,.,.,1
USA,01,1961,1961,10,1,119,O,370114,.,.,.,1
USA,01,1961,1961,11,1,119,O,346556,.,.,.,1
USA,01,1961,1961,12,1,119,O,354398,.,.,.,1
USA,01,1961,1961,TOT,1,119,O,4268326,.,.,.,1
USA,01,1962,1962,1,1,119,O,344014,.,.,.,1
USA,01,1962,1962,2,1,119,O,318090,.,.,.,1
USA,01,1962,1962,3,1,119,O,350762,.,.,.,1
USA,01,1962,1962,4,1,119,O,327926,.,.,.,1
USA,01,1962,1962,5,1,119,O,335230,.,.,.,1
USA,01,1962,1962,6,1,119,O,328098,.,.,.,1
USA,01,1962,1962,7,1,119,O,363018,.,.,.,1
USA,01,1962,1962,8,1,119,O,379122,.,.,.,1
USA,01,1962,1962,9,1,119,O,369002,.,.,.,1
USA,01,1962,1962,10,1,119,O,363524,.,.,.,1
USA,01,1962,1962,11,1,119,O,338796,.,.,.,1
USA,01,1962,1962,12,1,119,O,349780,.,.,.,1
USA,01,1962,1962,TOT,1,119,O,4167362,.,.,.,1
USA,01,1963,1963,1,1,119,O,339188,.,.,.,1
USA,01,1963,1963,2,1,119,O,310846,.,.,.,1
USA,01,1963,1963,3,1,119,O,340494,.,.,.,1
USA,01,1963,1963,4,1,119,O,322936,.,.,.,1
USA,01,1963,1963,5,1,119,O,334238,.,.,.,1
USA,01,1963,1963,6,1,119,O,331982,.,.,.,1
USA,01,1963,1963,7,1,119,O,360454,.,.,.,1
USA,01,1963,1963,8,1,119,O,367290,.,.,.,1
USA,01,1963,1963,9,1,119,O,365002,.,.,.,1
USA,01,1963,1963,10,1,119,O,356866,.,.,.,1
USA,01,1963,1963,11,1,119,O,328732,.,.,.,1
USA,01,1963,1963,12,1,119,O,339992,.,.,.,1
USA,01,1963,1963,TOT,1,119,O,4098020,.,.,.,1
USA,01,1964,1964,1,1,119,O,332210,.,.,.,1
USA,01,1964,1964,2,1,119,O,318554,.,.,.,1
USA,01,1964,1964,3,1,119,O,332388,.,.,.,1
USA,01,1964,1964,4,1,119,O,313338,.,.,.,1
USA,01,1964,1964,5,1,119,O,327064,.,.,.,1
USA,01,1964,1964,6,1,119,O,332568,.,.,.,1
USA,01,1964,1964,7,1,119,O,358096,.,.,.,1
USA,01,1964,1964,8,1,119,O,354932,.,.,.,1
USA,01,1964,1964,9,1,119,O,355604,.,.,.,1
USA,01,1964,1964,10,1,119,O,348232,.,.,.,1
USA,01,1964,1964,11,1,119,O,323578,.,.,.,1
USA,01,1964,1964,12,1,119,O,330926,.,.,.,1
USA,01,1964,1964,TOT,1,119,O,4027490,.,.,.,1
USA,01,1965,1965,1,1,119,O,312668,.,.,.,1
USA,01,1965,1965,2,1,119,O,288238,.,.,.,1
USA,01,1965,1965,3,1,119,O,317394,.,.,.,1
USA,01,1965,1965,4,1,119,O,293254,.,.,.,1
USA,01,1965,1965,5,1,119,O,306732,.,.,.,1
USA,01,1965,1965,6,1,119,O,308234,.,.,.,1
USA,01,1965,1965,7,1,119,O,332838,.,.,.,1
USA,01,1965,1965,8,1,119,O,336754,.,.,.,1
USA,01,1965,1965,9,1,119,O,333620,.,.,.,1
USA,01,1965,1965,10,1,119,O,320556,.,.,.,1
USA,01,1965,1965,11,1,119,O,301864,.,.,.,1
USA,01,1965,1965,12,1,119,O,308206,.,.,.,1
USA,01,1965,1965,TOT,1,119,O,3760358,.,.,.,1
USA,01,1966,1966,1,1,119,O,293850,.,.,.,1
USA,01,1966,1966,2,1,119,O,273902,.,.,.,1
USA,01,1966,1966,3,1,119,O,303420,.,.,.,1
USA,01,1966,1966,4,1,119,O,286914,.,.,.,1
USA,01,1966,1966,5,1,119,O,292824,.,.,.,1
USA,01,1966,1966,6,1,119,O,292526,.,.,.,1
USA,01,1966,1966,7,1,119,O,310550,.,.,.,1
USA,01,1966,1966,8,1,119,O,321304,.,.,.,1
USA,01,1966,1966,9,1,119,O,319234,.,.,.,1
USA,01,1966,1966,10,1,119,O,312942,.,.,.,1
USA,01,1966,1966,11,1,119,O,296458,.,.,.,1
USA,01,1966,1966,12,1,119,O,302350,.,.,.,1
USA,01,1966,1966,TOT,1,119,O,3606274,.,.,.,1
USA,01,1967,1967,1,1,119,O,293056,.,.,.,1
USA,01,1967,1967,2,1,119,O,268664,.,.,.,1
USA,01,1967,1967,3,1,119,O,296915,.,.,.,1
USA,01,1967,1967,4,1,119,O,270618,.,.,.,1
USA,01,1967,1967,5,1,119,O,290600,.,.,.,1
USA,01,1967,1967,6,1,119,O,289955,.,.,.,1
USA,01,1967,1967,7,1,119,O,309569,.,.,.,1
USA,01,1967,1967,8,1,119,O,313276,.,.,.,1
USA,01,1967,1967,9,1,119,O,308535,.,.,.,1
USA,01,1967,1967,10,1,119,O,303305,.,.,.,1
USA,01,1967,1967,11,1,119,O,284192,.,.,.,1
USA,01,1967,1967,12,1,119,O,292274,.,.,.,1
USA,01,1967,1967,TOT,1,119,O,3520959,.,.,.,1
USA,01,1968,1968,1,1,257,O,277404,.,.,.,1
USA,01,1968,1968,2,1,257,O,266082,.,.,.,1
USA,01,1968,1968,3,1,257,O,282152,.,.,.,1
USA,01,1968,1968,4,1,257,O,273564,.,.,.,1
