Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,US,US_SUM
1950,N/A,3062000,1910000,750000,10586000,1325000,2007000,802000,318000,2771000,3445000,N/A,2621000,589000,8712000,3934000,1905000,2945000,2684000,4691000,2343000,914000,6372000,2982000,3955000,2179000,591000,4062000,620000,1326000,533000,4835000,681000,160000,14830000,7947000,2233000,1521000,10498000,792000,2117000,653000,3292000,7711000,689000,3319000,378000,2379000,3435000,2006000,291000,151326000,151330000
1951,N/A,3059000,1901000,785000,11134000,1326000,2028000,808000,331000,2980000,3531000,N/A,2617000,589000,8790000,4096000,1950000,2941000,2769000,4654000,2441000,916000,6497000,3010000,4015000,2163000,596000,4120000,604000,1316000,529000,5006000,717000,168000,14890000,8061000,2210000,1556000,10461000,784000,2167000,655000,3372000,8111000,706000,3434000,378000,2424000,3439000,1984000,291000,153982000,153982000
1952,N/A,3068000,1838000,842000,11635000,1365000,2081000,805000,341000,3157000,3584000,N/A,2626000,587000,8956000,4148000,1977000,2920000,2842000,4650000,2500000,915000,6650000,3030000,3972000,2152000,602000,4109000,608000,1311000,535000,5125000,735000,181000,15192000,8275000,2219000,1582000,10503000,802000,2178000,651000,3352000,8314000,724000,3504000,375000,2448000,3469000,1957000,293000,156393000,156391000
1953,N/A,3053000,1780000,894000,12251000,1431000,2168000,810000,351000,3310000,3558000,N/A,2629000,596000,9065000,4182000,1994000,2903000,2866000,4806000,2567000,913000,6822000,3050000,4020000,2105000,616000,4120000,609000,1318000,547000,5229000,756000,195000,15527000,8591000,2182000,1601000,10662000,815000,2181000,648000,3319000,8336000,739000,3557000,379000,2466000,3506000,1929000,290000,158956000,158957000
1954,N/A,3014000,1734000,933000,12746000,1493000,2249000,791000,368000,3505000,3602000,N/A,2626000,600000,9252000,4264000,2042000,2902000,2883000,4910000,2685000,927000,7066000,3113000,4066000,2064000,624000,4131000,611000,1340000,554000,5360000,763000,213000,15814000,8873000,2209000,1626000,10817000,816000,2176000,655000,3359000,8382000,750000,3555000,377000,2516000,3608000,1905000,293000,161884000,161882000
1955,N/A,3050000,1725000,987000,13133000,1546000,2300000,785000,389000,3747000,3636000,N/A,2679000,618000,9435000,4363000,2093000,2910000,2946000,4882000,2742000,934000,7285000,3172000,4134000,2060000,636000,4242000,615000,1374000,557000,5502000,785000,237000,15966000,9017000,2250000,1659000,10939000,823000,2200000,663000,3415000,8660000,783000,3588000,375000,2604000,3679000,1880000,307000,165069000,165068000
1956,N/A,3071000,1704000,1053000,13713000,1625000,2316000,759000,408000,4047000,3701000,N/A,2703000,628000,9530000,4458000,2119000,2898000,3032000,4891000,2811000,938000,7467000,3240000,4163000,2086000,656000,4309000,613000,1397000,566000,5615000,806000,250000,16112000,9207000,2273000,1698000,10972000,840000,2229000,670000,3415000,8830000,809000,3722000,377000,2668000,3742000,1857000,312000,168088000,168089000
1957,N/A,3109000,1733000,1125000,14264000,1664000,2359000,763000,426000,4372000,3766000,N/A,2716000,642000,9668000,4529000,2128000,2928000,3115000,4929000,2873000,943000,7569000,3274000,4189000,2088000,667000,4368000,612000,1394000,572000,5737000,847000,260000,16374000,9410000,2282000,1712000,10954000,851000,2274000,666000,3434000,9070000,826000,3844000,376000,2724000,3791000,1843000,314000,171187000,171189000
1958,N/A,3163000,1726000,1193000,14880000,1667000,2446000,757000,433000,4630000,3804000,N/A,2708000,646000,9886000,4583000,2142000,2961000,3155000,5010000,2982000,944000,7667000,3313000,4186000,2086000,666000,4376000,606000,1383000,581000,5890000,886000,269000,16601000,9599000,2267000,1718000,11058000,858000,2304000,656000,3471000,9252000,845000,3914000,380000,2773000,3843000,1845000,315000,174149000,174153000
1959,224000,3204000,1756000,1261000,15467000,1710000,2523000,761000,441000,4808000,3868000,622000,2729000,657000,9986000,4613000,2160000,2999000,3208000,5117000,3066000,957000,7767000,3366000,4258000,2138000,669000,4458000,618000,1397000,596000,6015000,919000,279000,16685000,9671000,2289000,1746000,11234000,857000,2348000,667000,3522000,9405000,870000,3951000,387000,2821000,3891000,1855000,320000,177135000,177136000
1960,226000,3267000,1786000,1302000,15717000,1754000,2535000,764000,446000,4952000,3943000,633000,2758000,667000,10081000,4662000,2179000,3038000,3257000,5149000,3101000,969000,7823000,3414000,4320000,2178000,675000,4556000,632000,1411000,607000,6067000,951000,285000,16782000,9706000,2328000,1769000,11319000,859000,2383000,681000,3567000,9580000,891000,3967000,390000,2853000,3952000,1860000,330000,179323000,179322000
1961,238000,3316000,1806000,1407000,16497000,1844000,2586000,778000,461000,5243000,4015000,659000,2756000,684000,10130000,4730000,2215000,3054000,3287000,5219000,3176000,995000,7893000,3470000,4349000,2206000,696000,4663000,641000,1446000,618000,6265000,965000,315000,17061000,9854000,2380000,1787000,11392000,858000,2409000,693000,3622000,9820000,936000,4095000,390000,2882000,4009000,1828000,337000,182973000,182976000
1962,246000,3323000,1853000,1471000,17072000,1899000,2647000,788000,469000,5458000,4086000,684000,2750000,692000,10280000,4736000,2231000,3079000,3345000,5263000,3263000,994000,7933000,3513000,4357000,2243000,698000,4707000,637000,1464000,632000,6376000,979000,352000,17301000,9929000,2427000,1818000,11355000,871000,2423000,705000,3673000,10053000,958000,4180000,393000,2942000,4049000,1809000,333000,185738000,185739000
1963,256000,3358000,1875000,1521000,17668000,1936000,2727000,798000,483000,5628000,4172000,682000,2747000,683000,10402000,4799000,2217000,3096000,3377000,5344000,3386000,993000,8058000,3531000,4392000,2244000,703000,4742000,644000,1476000,649000,6531000,989000,397000,17461000,9986000,2439000,1853000,11424000,876000,2460000,708000,3718000,10159000,974000,4276000,397000,2955000,4112000,1796000,336000,188438000,188434000
1964,263000,3395000,1897000,1556000,18151000,1970000,2798000,798000,497000,5781000,4258000,700000,2746000,680000,10580000,4856000,2209000,3129000,3446000,5448000,3492000,993000,8187000,3558000,4442000,2241000,706000,4802000,649000,1482000,663000,6660000,1006000,426000,17589000,10080000,2446000,1888000,11519000,885000,2475000,701000,3771000,10270000,978000,4357000,399000,2961000,4165000,1797000,339000,191085000,191085000
1965,271000,3443000,1894000,1584000,18585000,1985000,2857000,797000,507000,5954000,4332000,704000,2742000,686000,10693000,4922000,2206000,3140000,3496000,5502000,3600000,997000,8357000,3592000,4467000,2246000,706000,4863000,649000,1471000,676000,6767000,1012000,444000,17734000,10201000,2440000,1937000,11620000,893000,2494000,692000,3798000,10378000,994000,4411000,404000,2967000,4232000,1786000,332000,193460000,193460000
1966,271000,3464000,1899000,1614000,18858000,2007000,2903000,791000,516000,6104000,4379000,710000,2762000,689000,10836000,4999000,2200000,3147000,3550000,5535000,3695000,999000,8512000,3617000,4523000,2245000,707000,4896000,647000,1456000,681000,6851000,1007000,446000,17843000,10330000,2454000,1969000,11664000,899000,2520000,683000,3822000,10492000,1009000,4456000,413000,3057000,4274000,1775000,323000,195501000,195499000
1967,278000,3458000,1901000,1646000,19176000,2053000,2935000,791000,525000,6242000,4408000,723000,2793000,688000,10947000,5053000,2197000,3172000,3581000,5594000,3757000,1004000,8630000,3659000,4539000,2228000,701000,4952000,626000,1457000,697000,6928000,1000000,449000,17935000,10414000,2489000,1979000,11681000,909000,2533000,671000,3859000,10599000,1019000,4508000,423000,3174000,4303000,1769000,322000,197374000,197375000
1968,285000,3446000,1902000,1682000,19394000,2120000,2964000,778000,534000,6433000,4482000,734000,2803000,695000,10995000,5093000,2216000,3195000,3603000,5618000,3815000,994000,8696000,3703000,4568000,2219000,700000,5004000,621000,1467000,709000,7005000,994000,464000,18051000,10516000,2503000,2004000,11741000,922000,2559000,669000,3878000,10819000,1029000,4558000,430000,3270000,4345000,1763000,324000,199312000,199312000
1969,296000,3440000,1913000,1737000,19711000,2166000,3000000,762000,540000,6641000,4551000,750000,2805000,707000,11039000,5143000,2236000,3198000,3619000,5650000,3868000,992000,8781000,3758000,4640000,2220000,694000,5031000,621000,1474000,724000,7095000,1011000,480000,18105000,10563000,2535000,2062000,11741000,932000,2570000,668000,3897000,11045000,1047000,4614000,437000,3343000,4378000,1746000,329000,201306000,201305000
1970,302583,3444354,1923322,1775399,19971069,2209596,3032217,756668,548104,6791418,4587930,769913,2825368,713015,11110285,5195392,2249071,3220711,3644637,5689170,3923897,993722,8881826,3806103,4677623,2216994,694409,5084411,617792,1485333,737681,7171112,1017055,488738,18241391,10657423,2559463,2091533,11800766,949723,2590713,666257,3926018,11198655,1059273,4651448,444732,3413244,4417821,1744237,332416,203302031,203302031
1971,315510,3497076,1972312,1895814,20345939,2303524,3060938,749781,564708,7158304,4711550,801644,2851705,738753,11202397,5253396,2246600,3298053,3710487,5737580,4018324,1015390,8974186,3853486,4725764,2265432,710814,5203531,626760,1504604,761851,7281107,1053737,520018,18357982,10734818,2618601,2151022,11886400,963107,2662269,671297,4013608,11509848,1101192,4750838,454318,3447553,4462155,1770657,340285,206827026,206827025
1972,324464,3539400,2018638,2008291,20585469,2404619,3068699,742241,572913,7511463,4809490,828331,2860287,763237,11251948,5302435,2256375,3335728,3761646,5760302,4073499,1034292,9028944,3869747,4758780,2307117,718732,5301150,631119,1519013,781107,7335042,1078697,546789,18339400,10746993,2658646,2197297,11908233,974790,2719197,677234,4094611,11759148,1135449,4824472,463143,3447885,4502412,1797648,347345,209283905,209283907
1973,330543,3579780,2059256,2124438,20868728,2495868,3067814,731488,577759,7913696,4910374,851595,2863715,782074,11251367,5338277,2265603,3371024,3788375,5781172,4097974,1045655,9077956,3889332,4782645,2349546,726798,5389852,632675,1529567,800951,7333083,1105529,568991,18177063,10767314,2695931,2241932,11890527,975738,2776605,678715,4147401,12019543,1170040,4901292,468430,3478782,4524244,1806360,354061,211357481,211357478
1974,341063,3626499,2101403,2223196,21173865,2541406,3074047,717947,581418,8298762,4999419,867978,2867530,807990,11262145,5361890,2269499,3416315,3820109,5773548,4118815,1059040,9117507,3903925,4795930,2378268,736419,5470911,634559,1539191,815914,7332411,1131309,596822,18049775,10765759,2734768,2285013,11870884,950615,2844749,679585,4213509,12268629,1200471,4971069,473002,3549946,4545782,1815447,365501,213341554,213341554
1975,376170,3678814,2159526,2284847,21537849,2586192,3082500,706871,586589,8518422,5064075,886160,2880847,831982,11291743,5365766,2280578,3467769,3886104,5757756,4139096,1071995,9117668,3932515,4808308,2399449,748208,5547188,638886,1543117,828555,7337765,1159944,619972,18003485,10770425,2774683,2329661,11906095,942788,2902028,681042,4275566,12568843,1236030,5047395,479713,3621339,4578986,1842250,381695,215465255,215465250
1976,400969,3735139,2170161,2346157,21935909,2632306,3083335,692295,590166,8667379,5132812,904191,2903082,856983,11342853,5389088,2301001,3529257,3950605,5743672,4150539,1088412,9129205,3964680,4839029,2429756,757317,5607964,645797,1550911,845248,7339745,1189295,646975,17940541,10752662,2826815,2378262,11897378,946089,2943657,686390,4346928,12904089,1274928,5121863,484928,3693610,4595904,1879503,396952,217562735,217562732
1977,403436,3780403,2209010,2425197,22352396,2696140,3085722,677228,591829,8856183,5219697,918259,2913573,883469,11386316,5425638,2320647,3573693,4014459,5738199,4169595,1103578,9171110,3989364,4863173,2459201,769953,5685607,649769,1556842,869763,7337169,1215720,678333,17812602,10771394,2870014,2446673,11893591,950230,2991681,688480,4422921,13193050,1319512,5193112,491931,3776050,4626514,1908088,413354,219759869,219759868
1978,404766,3831836,2243127,2515316,22835958,2766748,3091627,665052,594776,9102032,5295751,931584,2918069,910690,11412561,5470214,2335657,3609976,4068579,5736469,4183603,1113566,9217761,4015341,4889399,2487816,782317,5759492,651301,1563884,891520,7350804,1238034,719436,17680589,10795581,2917336,2518298,11879396,951816,3044364,688580,4486314,13500429,1367510,5270240,498109,3889073,4646108,1923395,432880,222095080,222095080
1979,402753,3866248,2271333,2635571,23256880,2849234,3095917,650016,594984,9426159,5401384,953306,2915739,932627,11396837,5501174,2350906,3641804,4137665,5738404,4191160,1122563,9266268,4050316,4912430,2507069,787305,5823491,652896,1567344,909074,7366512,1284722,765367,17583838,10798298,2975310,2588012,11887975,950382,3090267,688335,4560473,13888371,1420238,5307945,505372,4017632,4682811,1942146,454378,224567241,224567241
1980,401851,3893888,2286435,2718215,23667902,2889964,3107576,638333,594338,9746324,5463105,964691,2913808,943935,11426518,5490224,2363679,3660777,4205900,5737037,4216975,1124660,9262078,4075970,4916686,2520638,786690,5881766,652717,1569825,920610,7364823,1302894,800493,17558072,10797630,3025290,2633105,11863895,947154,3121820,690768,4591120,14229191,1461037,5346818,511456,4132156,4705767,1949644,469557,226545805,226545805
1981,418491,3918531,2293201,2810107,24285933,2977898,3128836,636893,595975,10192774,5568345,978195,2907983,962204,11443458,5480435,2384849,3670394,4283303,5768685,4261905,1133033,9209287,4111728,4932064,2539036,795328,5956653,659505,1578515,936621,7407472,1332748,847655,17567734,10788330,3096164,2667982,11858567,953013,3179255,689584,4627658,14746318,1515471,5444097,515594,4235731,4726343,1954124,491712,229465714,229465717
1982,449606,3925266,2294257,2889861,24820009,3061564,3139013,634174,599148,10471407,5649792,993780,2888189,973721,11423412,5467922,2401202,3683445,4352608,5771222,4282923,1136684,9115198,4131450,4929451,2556777,803986,6019101,668972,1581780,947719,7430968,1363823,881537,17589738,10757087,3206123,2664922,11845146,954170,3207614,690597,4646041,15331415,1558314,5492783,519109,4276552,4728870,1949604,506400,231664458,231664452
1983,488417,3934102,2305761,2968925,25360026,3133630,3162354,632433,605458,10749851,5728250,1012717,2870543,981869,11408818,5450395,2415531,3694484,4395316,5799407,4313327,1144772,9047754,4141456,4943733,2567717,814031,6077056,676688,1584293,958134,7467785,1394361,901977,17686905,10737632,3290402,2653066,11837723,956382,3234066,693008,4659749,15751676,1594943,5564657,523302,4300266,4721438,1945061,510345,233791994,233791992
1984,513702,3951820,2319768,3067135,25844393,3169992,3180014,633382,611565,11039925,5834954,1027922,2858618,990839,11412132,5458322,2424086,3695453,4400477,5840773,4365243,1155635,9049452,4157706,4975278,2578051,820905,6164006,680497,1588639,976864,7515473,1416717,924922,17745684,10737746,3285533,2666588,11815172,961894,3271868,697249,4686737,16007086,1622342,5643870,526660,4343656,4735563,1927697,504896,235824902,235824901
